Label,Location,Latitude,Longitude
Altglas Container #75,Feldbergstraße 33,49.45959525693015,8.472431636920208
Altglas Container #76,Badener Platz,49.47154066080713,8.55502088984297
Altglas Container #77,Hirschgasse,49.4315339010502,8.571579279334351
Altglas Container #78,Kaiserstuhlring,49.46279783632835,8.551145820876803
Altglas Container #79,Spessartstraße / Walter-Flex-Straße,49.48415440462163,8.53007403874783
Altglas Container #80,Mundenheimer Straße / Friedelsheimer Straße,49.4457806994262,8.505126642938
Altglas Container #81,Wallstadter Straße / Theodor-Storm-Straße,49.48991733737994,8.545202832657425
Altglas Container #82,Dresdener Straße - Wendeschleife,49.51073297467276,8.543407417277058
Altglas Container #83,Theodor-Storm-Straße / Talstraße / Friedhof,49.49044438628015,8.530060147711575
Altglas Container #84,Rudolstadter Weg,49.5141389117065,8.54273652719513
Altglas Container #85,Hagenauer Straße / Hagenauer Winkel,49.44150431490692,8.583905637532942
Altglas Container #86,Mecklenburger Straße / Warnermünder Weg,49.50799464404318,8.537322779427017
Altglas Container #87,Werthmannweg / Kettelerweg,49.5341121440792,8.486977059590734
Altglas Container #88,Alsenweg 42-52,49.53061211907114,8.487543960532369
Altglas Container #89,Am Herrschaftswald / Waldpforte,49.53823352686924,8.496648703509116
Altglas Container #90,Waldstraße / Marburger Straße,49.52774485507822,8.491081862084894
Altglas Container #91,Karlsternstraße Parkplatz,49.53643726954423,8.512227123209474
Altglas Container #92,Taunusplatz,49.52485687965074,8.485365215274978
Altglas Container #93,Lampertheimer Straße / Am Kuhbuckel,49.52605035712243,8.511123393963258
Altglas Container #94,Am Wallstadter Bahnhof,49.49851371697327,8.54853555743387
Altglas Container #95,Waldstraße (Supermarkt),49.52481945784924,8.499666938412947
Altglas Container #96,Osterburker Straße / Külsheimer Straße,49.49443765312164,8.546336389522864
Altglas Container #97,Max-Born-Straße / Recyclinghof ABG,49.52367331278484,8.459202923115797
Altglas Container #98,Atzelbuckelstraße / Königshofer Straße,49.4945934524742,8.549626585072867
Altglas Container #99,Parkring 29,49.48625586335218,8.455563313164795
Altglas Container #100,Römerstraße/ Sportanlage,49.5016599815805,8.540246699611268
Altglas Container #101,L 7 / L 9 / ZEW,49.48163756824383,8.466206312632771
Altglas Container #102,Am Unkenteich,49.501206844854615,8.549290691850208
Altglas Container #103,"B 7, 13",49.48922777067042,8.456599375649223
Altglas Container #104,O 7 / Kunststraße / MVV Kundenzentrum,49.48399049759392,8.473175539375848
Altglas Container #105,K 6 / Luisenring,49.4937853810889,8.465411525019
Altglas Container #106,Eisenlohrplatz / Friedrich-Ebert-Straße,49.50105052608618,8.494057133563032
Altglas Container #107,Akademiestraße,49.49191814061362,8.457326445591532
Altglas Container #108,Riedfeldstraße / Humboldtstraße,49.50054659027,8.467564909777604
Altglas Container #109,Dornheimer Ring / Tiefgarage,49.516435148698896,8.516593510347136
Altglas Container #110,Wasserwerkstraße / Andrew-Jackson-Straße,49.52107796055314,8.525085869533065
Altglas Container #111,Wormser Straße / Irisweg,49.51620779006432,8.511541911473191
Altglas Container #112,T3/ T4,49.48975226564789,8.471469643033965
Altglas Container #113,Auf dem Sand / Haltestelle,49.50734381790914,8.5062537649437
Altglas Container #114,Marguerrestraße / Wörthstraße,49.44835747985197,8.487657899348
Altglas Container #115,Am Rebstock / Rebenstraße,49.50851881182368,8.516424538760397
Altglas Container #116,Dahlbergstraße / Supermarkt,49.49579625100857,8.460943243150314
Altglas Container #117,Leistadter Straße / Bunker,49.50173118712955,8.50902244499514
Altglas Container #118,Abraham-Lincoln-Allee / Platz der Freundschaft,49.51889863692505,8.536249108520074
Altglas Container #119,Boveristraße,49.51014738047032,8.49581592917425
Altglas Container #120,Otto-Siffling-Straße / Schienenstraße,49.52641894481976,8.481549132071125
Altglas Container #121,Ida-Dehmel-Ring / Haltestelle,49.50633543047652,8.530847724763888
Altglas Container #122,Anna-Sammet-Straße,49.50414757631822,8.521379100281115
Altglas Container #123,Heiligenbergstraße 11,49.46229999387285,8.475272612535782
Altglas Container #124,Abraham-Lincoln-Allee Nord / George-Sullivan-Ring,49.5229137953449,8.528336970125565
Altglas Container #125,Meeräckerplatz / Meerwiesenstraße,49.46898979276112,8.470762071792478
Altglas Container #126,Mansfelder Weg,49.55776449821793,8.479950808208047
Altglas Container #127,Stephanienufer / Nord,49.47333677061911,8.464665248113228
Altglas Container #128,Ida-Dehmel-Ring / Spielplatz,49.505216490944,8.526243568935703
Altglas Container #129,Landteilstraße / Waldparkdamm,49.47207209495122,8.466916402828973
Altglas Container #130,Mallaustraße / Sporwörthstraße,49.44936014380539,8.52432678341451
Altglas Container #131,Siegmund-Schuckert-Straße / Floßwörthstraße,49.4577367582397,8.503695218572098
Altglas Container #132,Adlerstraße / Fischerstraße,49.45756351840804,8.491370698384555
Altglas Container #133,Baloghweg,49.44818011591239,8.474332722562075
Altglas Container #134,Hans-Sachs-Ring / Meistersingerstraße,49.45652784066992,8.480221593619246
Altglas Container #135,Im Morchhof - Recyclinghof,49.45608479332935,8.509226283543548
Altglas Container #136,August-Kuhn-Straße / Murgstraße,49.50125959514085,8.48005264254705
Altglas Container #137,Max-Joseph-Straße / Wendehammer,49.49673232659071,8.474320949018066
Altglas Container #138,Neuer Meßplatz / Heinrich-Zille-Straße,49.505415145717336,8.470418882450419
Altglas Container #139,Hermann-Heimerich-Ufer,49.49318768427069,8.479495918065119
Altglas Container #140,Gertrud-Bäumer-Straße,49.51097715465741,8.472094894323757
Altglas Container #141,Waldhofstraße / Laurentiusstraße,49.49889800635059,8.471622241593892
Altglas Container #142,Lochgärten / Parkplatz Kleingärtner Hermsheimer Straße 23,49.47229897821111,8.501631407014456
Altglas Container #143,Hans-Thoma-Straße / Dehner,49.47296005574515,8.539409687342848
Altglas Container #144,Strahlenburgstraße / Wendehammer,49.44647748643667,8.534433341458804
Altglas Container #145,Haßlocher Straße / Distelsand,49.42773679615628,8.533675992164406
Altglas Container #146,Brückeswasen / Altmühlstraße,49.45337959341512,8.500338565919398
Altglas Container #147,Bohnenbergerstraße / Mallaustraße / Bauhaus,49.45437157357036,8.514814818085561
Altglas Container #148,Mönchplatz,49.54222482594967,8.4509042090867
Altglas Container #149,Groß-Gerauer-Straße / Ausgasse,49.54818950150899,8.439227116094601
Altglas Container #150,Sonnenstraße / K.-Schweizer-Park,49.54765195739417,8.448018710746446
Altglas Container #151,Scharhofer Straße 58,49.55086791794892,8.447163902651319
Altglas Container #152,Danziger Baumgang / Thorner Straße,49.5385131259737,8.477093151427963
Altglas Container #153,Friedrich-Dürr-Straße / Paul-Schreck-Platz,49.54849679179711,8.479509087935993
Altglas Container #154,Ludwig-Ratzel-Straße / Bassermannstraße,49.48693181934025,8.489049232909917
Altglas Container #155,Ludwig-Ratzel-Straße / Kolpingstraße,49.48498523495362,8.487489661579092
Altglas Container #156,Otto-Beck-Straße / Richard-Wagner-Straße,49.47988156109851,8.483076415940795
Altglas Container #157,Richard-Wagner-Straße / Karl-Ludwig-Straße,49.48057999559338,8.481724838590296
Altglas Container #158,Friedrichsring / Cahn-Garnier-Ufer,49.492228379900745,8.474215637070492
Altglas Container #159,Werderstraße / Seckenheimer Straße,49.48092221342543,8.47812062851572
Altglas Container #160,Gaußstraße / Reichskanzler-Müller-Straße,49.475412433708144,8.479581292746351
Altglas Container #161,Georg-Lechleiter-Platz,49.47643603753652,8.480088874167448
Altglas Container #162,Möhlstraße / Augartenstraße,49.47432758546441,8.486256949658909
Altglas Container #163,Traitteurstraße / Augartenstraße,49.47833722318065,8.48104478664182
Altglas Container #164,Carl-Reiß-Platz / Mühldorfer Straße,49.47799534835273,8.487601986127096
Altglas Container #165,Kolpingstraße 3,49.48749616256505,8.480856945938388
Altglas Container #166,Stengelstraße / Schloss Seckenheim,49.46425319470675,8.56642381740572
Altglas Container #167,Brettener Straße 4 - 8,49.47042257255292,8.549803902710702
Altglas Container #168,Badenweiler Straße / Rastatter Straße,49.46566034591148,8.55152543557485
Altglas Container #169,Bellinger Weg / Offenburger Straße,49.46039608317546,8.555627873579033
Altglas Container #170,Stolzeneckstraße / Fronäckerstraße / Kleingärten,49.44715891483003,8.515615144581673
Altglas Container #171,Sachsenstraße / See,49.50710265479044,8.54486716916959
Altglas Container #172,Freiberger Ring,49.509785282061,8.540424862963505
Altglas Container #173,Leipziger Straße / Zwickauer Weg,49.51183900402872,8.547951201739163
